gender,leaning,living
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,south
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,conservative,north
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,south
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
female,liberal,north
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,south
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,conservative,north
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,south
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north
male,liberal,north

