number of people,number of items,min value,max value,times
5,10,1,20,"[0.039006948471069336, 0.7576167583465576]"
6,10,1,20,"[0.1193380355834961, 1.3194959163665771]"
7,10,1,20,"[0.17839288711547852, 1.9009389877319336]"
8,10,1,20,"[0.07403087615966797, 4.048792123794556]"
9,10,1,20,"[0.10500025749206543, 2.5527989864349365]"
10,10,1,20,"[0.08620023727416992, 1.8236000537872314]"
11,10,1,20,"[0.6743631362915039, 2.2928810119628906]"
12,10,1,20,"[39.38296890258789, 2.1662352085113525]"
13,10,1,20,"[62.32471179962158, 2.8037519454956055]"
14,10,1,20,"[100, 1.9659719467163086]"
15,10,1,20,"[100, 3.9622650146484375]"
16,10,1,20,"[100, 3.713291883468628]"
17,10,1,20,"[100, 3.334537982940674]"
18,10,1,20,"[100, 2.9618799686431885]"
19,10,1,20,"[100, 3.571176052093506]"
20,10,1,20,"[100, 4.448500156402588]"
21,10,1,20,"[100, 4.180752754211426]"
22,10,1,20,"[100, 4.761070013046265]"
23,10,1,20,"[100, 4.139086961746216]"
24,10,1,20,"[100, 5.612096071243286]"
25,10,1,20,"[100, 5.49557089805603]"
26,10,1,20,"[100, 5.283658027648926]"
27,10,1,20,"[100, 5.268912076950073]"
28,10,1,20,"[100, 6.996402025222778]"
29,10,1,20,"[100, 6.722050905227661]"
30,10,1,20,"[100, 6.916222810745239]"
