panel size,number of people,number of panels,times
10,50,100,"[3.1184310913085938, 3.7011919021606445, 25.856115102767944]"
12,50,100,"[2.5870120525360107, 5.201117992401123, 22.198829174041748]"
14,50,100,"[3.018916130065918, 5.678404808044434, 26.385616302490234]"
16,50,100,"[3.1946239471435547, 5.338241100311279, 31.37457513809204]"
18,50,100,"[3.294079065322876, 7.169624090194702, 23.0006206035614]"
10,55,100,"[4.438277006149292, 5.087979078292847, 28.1973819732666]"
12,55,100,"[4.214741945266724, 5.896193027496338, 32.05809307098389]"
14,55,100,"[4.616508960723877, 6.810135841369629, 29.931025981903076]"
16,55,100,"[4.097048997879028, 6.926001071929932, 40.76455783843994]"
18,55,100,"[6.0167858600616455, 9.074172735214233, 32.59584879875183]"
10,60,100,"[6.059078693389893, 6.409285068511963, 62.466557025909424]"
12,60,100,"[5.2979748249053955, 6.227246046066284, 50.086852073669434]"
14,60,100,"[5.159079074859619, 6.887872934341431, 49.78375291824341]"
16,60,100,"[6.907651662826538, 7.854391098022461, 32.73997211456299]"
18,60,100,"[6.673243045806885, 7.08748197555542, 35.985820293426514]"
10,65,100,"[5.524484872817993, 5.561600923538208, 143.55605101585388]"
12,65,100,"[6.393756151199341, 7.039493083953857, 94.83313798904419]"
14,65,100,"[7.641139984130859, 7.863006830215454, 62.05538606643677]"
16,65,100,"[6.1254918575286865, 8.32663106918335, 110.09781289100647]"
18,65,100,"[6.451359272003174, 8.434159994125366, 103.8300461769104]"
10,70,100,"[8.068204879760742, 5.892608880996704, 106.22111678123474]"
12,70,100,"[7.797117233276367, 7.1109278202056885, 134.1550509929657]"
14,70,100,"[9.979372024536133, 7.837371349334717, 89.133957862854]"
16,70,100,"[8.559583902359009, 8.744733095169067, 156.61679005622864]"
18,70,100,"[11.380774736404419, 10.24523115158081, 89.20927691459656]"
