number of people,number of items,min value,max value,times
5,5,1,20,"[0.03011918067932129, 0.2442169189453125]"
5,6,1,20,"[0.025068998336791992, 0.5541901588439941]"
5,7,1,20,"[0.05350494384765625, 0.8115260601043701]"
5,8,1,20,"[0.038507938385009766, 1.899914026260376]"
5,9,1,20,"[0.04053997993469238, 2.2505459785461426]"
5,10,1,20,"[0.028883934020996094, 0.6880731582641602]"
5,11,1,20,"[0.04380393028259277, 0.997262716293335]"
5,12,1,20,"[0.10668492317199707, 3.828526020050049]"
5,13,1,20,"[0.0580289363861084, 3.6585910320281982]"
5,14,1,20,"[0.11778688430786133, 5.00440788269043]"
6,5,1,20,"[0.03374195098876953, 0.21738719940185547]"
6,6,1,20,"[0.03610086441040039, 0.2619609832763672]"
6,7,1,20,"[0.03817605972290039, 0.7631239891052246]"
6,8,1,20,"[0.04081010818481445, 1.4066650867462158]"
6,9,1,20,"[0.04380536079406738, 1.3965239524841309]"
6,10,1,20,"[0.14316487312316895, 2.611968994140625]"
6,11,1,20,"[0.29665517807006836, 6.127121925354004]"
6,12,1,20,"[0.04648923873901367, 1.3232672214508057]"
6,13,1,20,"[0.05467700958251953, 3.333588123321533]"
6,14,1,20,"[0.0648200511932373, 6.511240005493164]"
7,5,1,20,"[0.11120200157165527, 0.2953212261199951]"
7,6,1,20,"[0.05169820785522461, 0.3915579319000244]"
7,7,1,20,"[0.038175106048583984, 0.5276548862457275]"
7,8,1,20,"[0.05089092254638672, 1.1004390716552734]"
7,9,1,20,"[0.05500388145446777, 2.426563024520874]"
7,10,1,20,"[0.05554509162902832, 1.3259358406066895]"
7,11,1,20,"[0.34625792503356934, 4.548616886138916]"
7,12,1,20,"[0.3525209426879883, 4.056685209274292]"
7,13,1,20,"[0.34053611755371094, 7.650177955627441]"
7,14,1,20,"[0.08073687553405762, 5.836411714553833]"
8,5,1,20,"[0.24867510795593262, 0.31373000144958496]"
8,6,1,20,"[0.48686814308166504, 0.5670230388641357]"
8,7,1,20,"[0.09878110885620117, 0.6238739490509033]"
8,8,1,20,"[0.05725288391113281, 0.8405771255493164]"
8,9,1,20,"[0.08192992210388184, 3.1384730339050293]"
8,10,1,20,"[0.15218782424926758, 5.994586229324341]"
8,11,1,20,"[0.08838605880737305, 3.426861047744751]"
8,12,1,20,"[0.09917378425598145, 4.9914350509643555]"
8,13,1,20,"[0.11516499519348145, 5.461105108261108]"
8,14,1,20,"[0.9200069904327393, 18.274648666381836]"
9,5,1,20,"[0.8129110336303711, 0.43829989433288574]"
9,6,1,20,"[3.1259701251983643, 0.49698591232299805]"
9,7,1,20,"[5.987024307250977, 0.7543549537658691]"
9,8,1,20,"[0.24596500396728516, 0.8249211311340332]"
9,9,1,20,"[0.06635022163391113, 1.6550838947296143]"
9,10,1,20,"[0.20918583869934082, 2.2200629711151123]"
9,11,1,20,"[0.0924530029296875, 4.2667810916900635]"
9,12,1,20,"[0.32834887504577637, 8.607192039489746]"
9,13,1,20,"[0.18416523933410645, 7.274487018585205]"
9,14,1,20,"[7.288125038146973, 21.56661319732666]"
10,5,1,20,"[1.6095166206359863, 0.47279787063598633]"
10,6,1,20,"[8.666581153869629, 0.6872539520263672]"
10,7,1,20,"[28.467350006103516, 0.8280260562896729]"
10,8,1,20,"[46.44419717788696, 0.9735479354858398]"
10,9,1,20,"[0.24765300750732422, 1.174556016921997]"
10,10,1,20,"[0.08068299293518066, 2.0884289741516113]"
10,11,1,20,"[0.11192822456359863, 3.2292959690093994]"
10,12,1,20,"[0.273360013961792, 9.134351968765259]"
10,13,1,20,"[4.72762131690979, 16.650211095809937]"
10,14,1,20,"[2.110748052597046, 27.753660917282104]"
11,5,1,20,"[4.032482862472534, 0.5869259834289551]"
11,6,1,20,"[21.438005924224854, 0.6082189083099365]"
11,7,1,20,"[103.27983212471008, 0.9402258396148682]"
11,8,1,20,"[195.41132402420044, 1.8050518035888672]"
11,9,1,20,"[120.0660789012909, 2.4661669731140137]"
11,10,1,20,"[0.49585700035095215, 1.6640610694885254]"
11,11,1,20,"[0.1264052391052246, 2.76375412940979]"
11,12,1,20,"[1.115074634552002, 3.9519729614257812]"
11,13,1,20,"[0.20611906051635742, 9.845864057540894]"
11,14,1,20,"[0.21255087852478027, 19.24286198616028]"
12,5,1,20,"[7.897480249404907, 0.606917142868042]"
12,6,1,20,"[65.71804404258728, 1.0095298290252686]"
