number of people,number of items,min value,max value,times
10,5,1,20,"[1.9101731777191162, 0.5929930210113525]"
10,6,1,20,"[10.145161867141724, 0.6913011074066162]"
10,7,1,20,"[30.790273904800415, 0.9988629817962646]"
10,8,1,20,"[50.03030276298523, 1.2030870914459229]"
10,9,1,20,"[0.29075193405151367, 1.4004580974578857]"
10,10,1,20,"[0.10924100875854492, 1.9111201763153076]"
10,11,1,20,"[0.6342108249664307, 22.561596155166626]"
10,12,1,20,"[0.16022682189941406, 7.542564153671265]"
10,13,1,20,"[0.20882821083068848, 21.622920989990234]"
10,14,1,20,"[1.060237169265747, 15.970580101013184]"
10,15,1,20,"[0.2316880226135254, 18.216994047164917]"
10,16,1,20,"[10.009583950042725, 52.42885398864746]"
10,17,1,20,"[6.061269044876099, 63.85430312156677]"
10,18,1,20,"[200.0967869758606, 23.755258798599243]"
10,19,1,20,"[200.08685111999512, 43.09155488014221]"
10,20,1,20,"[0.42467379570007324, 22.989839792251587]"
