number of people,number of items,min value,max value,times
5,10,1,20,"[0.0672919750213623, 2.85371994972229]"
6,10,1,20,"[0.0516202449798584, 2.255239963531494]"
7,10,1,20,"[0.0690450668334961, 4.138479948043823]"
8,10,1,20,"[0.13583683967590332, 9.875683069229126]"
9,10,1,20,"[0.1510331630706787, 2.282595157623291]"
10,10,1,20,"[0.08953499794006348, 2.1900811195373535]"
11,10,1,20,"[1.0281357765197754, 1.7384510040283203]"
12,10,1,20,"[200.07660913467407, 5.2187089920043945]"
13,10,1,20,"[200.08498978614807, 4.219286203384399]"
14,10,1,20,"[200.09867691993713, 5.409390211105347]"
15,10,1,20,"[200.10619473457336, 4.389944791793823]"
16,10,1,20,"[200.1096749305725, 4.767289876937866]"
17,10,1,20,"[200.11694812774658, 6.4523608684539795]"
18,10,1,20,"[200.12673211097717, 5.929676055908203]"
19,10,1,20,"[200.16275191307068, 9.325554847717285]"
20,10,1,20,"[200.14994168281555, 4.761767864227295]"
21,10,1,20,"[201.2764449119568, 7.119452953338623]"
22,10,1,20,"[201.39137196540833, 9.43406081199646]"
23,10,1,20,"[201.49308896064758, 7.942921161651611]"
24,10,1,20,"[202.28399801254272, 6.973054885864258]"
25,10,1,20,"[200.7561411857605, 8.294032096862793]"
26,10,1,20,"[203.48702216148376, 10.012773990631104]"
27,10,1,20,"[201.89049291610718, 10.545555114746094]"
28,10,1,20,"[203.99454998970032, 9.669093132019043]"
29,10,1,20,"[202.86097884178162, 12.209039211273193]"
30,10,1,20,"[204.12374186515808, 11.459146976470947]"
