panel size,number of people,number of panels,times
10,50,100,"[3.0265491008758545, 4.023694753646851, 28.287654161453247]"
11,50,100,"[2.806896924972534, 4.757662296295166, 22.240411043167114]"
12,50,100,"[2.8491580486297607, 5.217742919921875, 29.45321011543274]"
13,50,100,"[2.7750191688537598, 5.404682874679565, 22.059390783309937]"
14,50,100,"[2.646090030670166, 5.6649699211120605, 22.063023805618286]"
15,50,100,"[2.9235332012176514, 5.432551860809326, 22.076179027557373]"
16,50,100,"[3.3732128143310547, 6.026096820831299, 30.89480495452881]"
17,50,100,"[3.6753756999969482, 5.874325275421143, 24.28470015525818]"
18,50,100,"[2.8847999572753906, 6.088748931884766, 22.133008003234863]"
19,50,100,"[3.5866751670837402, 6.385941028594971, 25.91878390312195]"
20,50,100,"[3.5661771297454834, 6.9022908210754395, 33.824437856674194]"
21,50,100,"[3.639876127243042, 6.489825010299683, 22.01067280769348]"
22,50,100,"[3.6871700286865234, 6.400607109069824, 25.95208716392517]"
23,50,100,"[3.470604181289673, 6.467666864395142, 30.815137147903442]"
24,50,100,"[3.11496901512146, 7.47283411026001, 21.89184808731079]"
25,50,100,"[3.2484958171844482, 6.946728229522705, 22.226859092712402]"
26,50,100,"[3.9702608585357666, 5.96627402305603, 22.6992449760437]"
27,50,100,"[3.777495861053467, 6.309829235076904, 25.933990955352783]"
28,50,100,"[3.3025190830230713, 7.947134971618652, 21.873106718063354]"
29,50,100,"[3.6405601501464844, 7.094235897064209, 21.85500192642212]"
