panel size,number of people,number of panels,times
30,60,80,"[6.0170629024505615, 11.15257477760315, 73.45725512504578]"
30,60,82,"[6.284533977508545, 12.848817110061646, 94.22101902961731]"
30,60,84,"[7.021509885787964, 10.86372995376587, 77.0254111289978]"
30,60,86,"[5.781352996826172, 11.240422010421753, 91.35949802398682]"
30,60,88,"[6.943071126937866, 11.781126022338867, 75.37369775772095]"
30,60,90,"[5.923371076583862, 12.4114351272583, 95.80402994155884]"
30,60,92,"[5.959312915802002, 11.321578025817871, 78.35119676589966]"
30,60,94,"[7.511254072189331, 10.126030921936035, 64.76996922492981]"
30,60,96,"[6.9910759925842285, 10.74653697013855, 70.79662680625916]"
30,60,98,"[7.093881845474243, 10.65505599975586, 58.68761372566223]"
